ARZ,1998,65,163
ARZ,1999,100,163
ARZ,2000,85,162
ARZ,2001,92,162
ARZ,2002,98,162
ARZ,2003,84,162
ARZ,2004,51,162
ARZ,2005,77,162
ARZ,2006,76,162
ARZ,2007,90,163
ARZ,2008,82,163
ARZ,2009,70,163
ARZ,2010,65,162
ARZ,2011,94,162
ARZ,2012,81,162
ARZ,2013,81,163
ARZ,2014,64,162
ARZ,2015,79,162
ARZ,2016,69,162
ATL,1969,93,162
ATL,1970,76,162
ATL,1971,82,162
ATL,1972,70,156
ATL,1973,76,162
ATL,1974,88,162
ATL,1975,67,162
ATL,1976,70,162
ATL,1977,61,162
ATL,1978,69,163
ATL,1979,66,162
ATL,1980,81,163
ATL,1981,50,111
ATL,1982,89,162
ATL,1983,88,162
ATL,1984,80,162
ATL,1985,66,162
ATL,1986,72,162
ATL,1987,69,162
ATL,1988,54,162
ATL,1989,63,162
ATL,1990,65,162
ATL,1991,94,162
ATL,1992,98,162
ATL,1993,104,162
ATL,1994,68,117
ATL,1995,90,145
ATL,1996,96,162
ATL,1997,101,162
ATL,1998,106,163
ATL,1999,103,163
ATL,2000,95,162
ATL,2001,88,162
ATL,2002,101,162
ATL,2003,101,162
ATL,2004,96,162
ATL,2005,90,162
ATL,2006,79,162
ATL,2007,84,163
ATL,2008,72,163
ATL,2009,86,163
ATL,2010,91,162
ATL,2011,89,162
ATL,2012,94,162
ATL,2013,96,163
ATL,2014,79,162
ATL,2015,67,162
ATL,2016,68,162
BAL,1969,109,162
BAL,1970,108,162
BAL,1971,101,162
BAL,1972,80,156
BAL,1973,97,162
BAL,1974,91,162
BAL,1975,90,162
BAL,1976,88,162
BAL,1977,97,162
BAL,1978,90,163
BAL,1979,102,162
BAL,1980,100,163
BAL,1981,59,111
BAL,1982,94,162
BAL,1983,98,162
BAL,1984,85,162
BAL,1985,83,162
BAL,1986,73,162
BAL,1987,67,162
BAL,1988,54,162
BAL,1989,87,162
BAL,1990,76,162
BAL,1991,67,162
BAL,1992,89,162
BAL,1993,85,162
BAL,1994,63,117
BAL,1995,71,145
BAL,1996,88,162
